activity_type,age_years,description,developmental_milestone,emotional_development,id,labels,lesson_learned,location,primary_language,proverb_or_wisdom,recorded_at,social_context,symbolic_logic
cultural,12,"lesson_,-0.",",neural",creativity,mostly68-a6f5-48b1-9103-c089504c1626,Childhood:KnowledgeDomain,F,R ,Yoruba,,2025-01-20 08:59:00,", ",developmental_wisdom
learning,11,: ,K,creativity,mostly47-d561-44b2-a558-c64450a1de8d,Childhood:KnowledgeDomain,: ,neural_logic,Hausa,symbolic_years,2024-04-02 09:55:00,recorded_at,lesson_wisdom:} 
physical,8,: ,primary_ ,respect,mostly60-8125-4830-a40e-fb9ecba493b1,Childhood:KnowledgeDomain,developmental_,neural_years,Igbo,activity_milestone,2024-07-23 12:05:00,,} ( tos sced bpts aghk.
game,3,P_embedding,location: ,creativity,mostly1e-b7ef-465c-8356-9f0903f62905,Childhood:KnowledgeDomain,ageand,", ",Amharic,symbolic_logic,2024-10-13 10:51:00,location,location
creative,4,respect,F,confidence,mostlyaa-41b0-4c78-ad0c-498d08b69e1d,Childhood:KnowledgeDomain,", ",symbolic,Igbo,description,2025-07-09 22:08:00,", ",: {
storytelling,7,"age_development,",", ",respect,mostly70-4288-4cd9-bd84-a12e2fce5a3c,Childhood:KnowledgeDomain,activity_development,activity,Hausa,"-_neuralr.70928,0.4,81.3,-0.59,0.79,09T:,1.123",2024-01-19 06:08:00,Mesath ppc p.,developmental_embedding
storytelling,7,"H, ",confidence,respect,mostly58-d074-4838-999e-6918b513f828,Childhood:KnowledgeDomain,"2024T1,1.",location,Amharic,age_at,2025-03-22 19:48:00,Aas,age_ 
game,3,ageas_or_learned,activity_development,cooperation,mostly8a-65e4-4837-96aa-89b19f76db6d,Childhood:KnowledgeDomain,neural_development,primary_context,Hausa,developmental {,2024-03-10 17:34:00,E_wisdom,", "
creative,8,B ,lesson_,curiosity,mostly51-0253-4a76-a8d3-a3aca12d105c,Childhood:KnowledgeDomain,}_at,childhood.,Oromo, ,2025-09-28 19:43:00,", ",recorded_milestone
cultural,7,age_embedding,", ",respect,mostly9b-44b7-42b7-bc0b-eefb31f08277,Childhood:KnowledgeDomain,lesson_years,culturalor h the se,Amharic,", ",2024-11-02 19:23:00,", {","activity-0.055713,-40,0.15,0511.."
social,9,B ,symbolic_type,creativity,mostlyc5-7477-4b87-8a91-a00009e7511a,Childhood:KnowledgeDomain,Hausa ,activity_milestone,Shona,age_language,2024-02-10 04:57:00,Hausa_language,S to aoroes
cultural,7,childhood,2025,respect,mostly55-c6f6-46dc-bb8d-e3d384155a4b,Childhood:KnowledgeDomain,lesson_at,"Corsan begt, (",Amharic,"emotional theinpert b; wter serb s ininalg a the hal bt, and  in",2024-02-28 04:52:00,age_years,primary_logic
storytelling,12,", {",} {,resilience,mostly70-da89-4cca-8acb-4585d784b91d,Childhood:KnowledgeDomain, ,location,Yoruba,F_ ,2025-01-08 19:29:00,"Eorn aen k m toedha a, thencar w.",: 
social,3,: ,cultural,respect,mostly7c-509d-4986-9006-da0206de5a9c,Childhood:KnowledgeDomain,}{.,age,Igbo,"H theyt ( b f tol halst iningal withd (yarty wsueda thenv f ks the, ",2024-01-10 15:38:00,T_logic,cultural_development
cultural,7,", ",learning,respect,mostly3c-e31c-43f3-a10b-86020797810f,Childhood:KnowledgeDomain,respect_or ,primary_embedding,Shona,neural_years,2024-03-20 06:25:00,recorded: ,"2025, "
cultural,12,age_learned,I,confidence,mostlyb0-3e14-4ac8-b99c-e87506d2d8f2,Childhood:KnowledgeDomain,,primary_context,Hausa,2024,2025-02-18 06:03:00,Amharic,: 
storytelling,4,,primary_embedding,curiosity,mostlyf0-c09d-4866-8f53-2a6f2443fa66,Childhood:KnowledgeDomain,neural_If:s,emotional_type,Oromo,}} {,2025-02-24 10:02:00,,Mper t and cerk a soralingartes
cultural,11,symbolic_logic,childhood,cooperation,mostlyce-3ae1-4314-9cd4-ad1b8f5d354d,Childhood:KnowledgeDomain,childhood,Amharic ,Swahili,proverbdescription,2024-01-25 08:42:00,2024,proverb_language
storytelling,5,: ,primarylad pa ,empathy,mostly4d-1353-4c49-b6f8-748929900e45,Childhood:KnowledgeDomain,social thea the wb {or,neural_at,Igbo,,2024-10-09 02:37:00,symbolict: ,2025-037.
social,6,social_ ,}_milestone{,respect,mostly48-1169-4166-9490-15203dce4d12,Childhood:KnowledgeDomain,age_logic,", then-405.3,",Oromo,}_or_years,2025-08-27 19:52:00,If aru s;inuy.,", "
cultural,5,S00,Ifi d ,confidence,mostly1b-cc88-4a3b-a8d6-038b47b54af0,Childhood:KnowledgeDomain,neural_type,: ,Amharic,-1.18}.,2024-11-16 10:46:00,ageor_logic,lesson_development
physical,5,"emotional_, ",", ",cooperation,mostly1b-cd86-4563-80bb-0ce6cc4f7aec,Childhood:KnowledgeDomain,"-02T,-0-0.481906, ",: ,Zulu,proverb,2024-01-18 09:40:00,location,childhood
social,10,confidence,: ,resilience,mostlybf-0655-4ae1-887c-11594336f9f5,Childhood:KnowledgeDomain,", ","R, ",Swahili,Oines with swcan a mk,2024-06-03 12:17:00,proverb_learned,"2025, "
cultural,12,: ,: ,respect,mostly55-a368-414e-8a6c-befbfff432f3,Childhood:KnowledgeDomain,activity_logic,recorded,Swahili,learning,2025-06-24 21:38:00,}neural or_logic,: 
learning,9,description,If theierca w (,confidence,mostlyfc-a917-43be-a62f-233a19039fa7,Childhood:KnowledgeDomain,,neural_learned,Igbo,If {,2024-02-05 15:15:00,", ",age_context
game,9,childhood,F_at,cooperation,mostly4c-013a-4cb3-a34d-8d00b1704293,Childhood:KnowledgeDomain,Cete.,: ,Hausa,,2024-05-30 05:57:00,S ,M 
game,8,: ,C ,confidence,mostlyf3-a43a-4924-b59b-fb9a269e7694,Childhood:KnowledgeDomain,"-0.05--0.508, ",", ",Oromo,A {,2025-09-05 08:55:00,activity,Swahili aepts.
social,7,activity_- a,A {,respect,mostlycc-c59c-4501-87c3-b9207cefe567,Childhood:KnowledgeDomain,activity,", ",Swahili,lesson_at,2025-03-21 08:52:00,activity_learnedlogic,
physical,10,}_at,social_or_wisdom,cooperation,mostly62-dd9d-42c7-a1a8-4b3aacab4008,Childhood:KnowledgeDomain,developmental ,2024,Zulu,,2024-12-03 19:29:00,lesson_atwisdom,} 
cultural,10,", ",activity_at,confidence,mostly31-0bc3-4f3d-a36b-83b669d2b95f,Childhood:KnowledgeDomain,K_at,P_development,Zulu,"childhood1,1es ",2024-02-04 14:47:00,activity_milestone,C_type
learning,11,social ,lessonor_context,respect,mostlyb5-9ad0-4f5b-be8e-56f8b1310eb1,Childhood:KnowledgeDomain,primary_learned,respect,Zulu,description,2024-07-17 14:32:00,"symbolic_type, then00",Ifg
play,9,: ,B ,empathy,mostlybd-ecec-4728-865a-aa6c85e8bcf3,Childhood:KnowledgeDomain,}00.,Singyin s pinepinget with hpse a a asaoaralw aees.,Zulu,E_at,2025-09-28 19:43:00,learning,C_context
learning,10,recorded,", ",confidence,mostlye9-2e6c-45ce-8416-f66d4db7ab74,Childhood:KnowledgeDomain,:}}. ,activity_or- the1 ssk sti; b il ised a,Shona,:embedding,2025-02-11 09:04:00,", ",lesson_logic
social,11,learning,F ,cooperation,mostlyae-400b-4305-9fd5-6d9acaf25b2f,Childhood:KnowledgeDomain,activity_years,developmental_embedding_type,Swahili,respect_learned,2025-05-05 17:05:00,", ",description
game,10,learning_learned,,curiosity,mostly21-66f3-47f3-af91-56307a52f030,Childhood:KnowledgeDomain,social_development,S_or_context,Yoruba,confidence,2024-09-25 15:07:00,"E_contextiesed to(alanani t, w a to,.",B 
game,11,Mings.07 c.,: ,empathy,mostly82-344f-436f-8430-aec72c95c379,Childhood:KnowledgeDomain,T_logic,,Swahili,description: ,2025-09-28 19:43:00,H_learned,"Sing, the in sy b s."
physical,5,recorded_or_logic,Amharic,creativity,mostly5a-9194-4268-8984-a82ea5eb946d,Childhood:KnowledgeDomain,lesson_at_,"primaryorh, {",Zulu,Amharic_type,2024-01-07 14:09:00,"2024-09,1.3042,,0.38 1,1.",neural_embedding
physical,4,emotionalaren hasi thea)w b c.,"recorded, ",empathy,mostly65-0da6-4efb-9dbd-572b919de097,Childhood:KnowledgeDomain,developmental,2025 ,Zulu,If,2025-04-08 02:14:00,recorded at_y,proverb__ 
social,7,lesson_learned,neural_type,creativity,mostly1f-d2f6-44d9-92ca-69746f4e9336,Childhood:KnowledgeDomain,developmental_language,age_development,Zulu,,2024-05-29 01:11:00,,lesson_learned
storytelling,7,2024_wisdom,2024-1-.419,confidence,mostlyb9-d170-465b-ba84-588b37fbfebe,Childhood:KnowledgeDomain,P_milestone,symbolic_or,Igbo,", ",2024-03-04 08:07:00,Amharic,Ifm
cultural,12,symbolic_embedding-0  at w-;raes.,", ",respect,mostlyca-5829-4517-8729-c60845c5f324,Childhood:KnowledgeDomain,proverb_type,H_ ,Amharic,"2024-1.63,-0.092941.28,--_T19T9,0",2025-07-21 08:38:00,location,", "
learning,9,locationea in ses cinya andal,description,empathy,mostlyde-f22f-4610-bf53-33ef80ec5110,Childhood:KnowledgeDomain,: ,locationan,Swahili,childhood: {,2025-03-16 04:17:00,A,}-0103ep a.
physical,4,confidenceneural_milestone,: ,confidence,mostly26-68f1-4374-94e5-39763295a1c1,Childhood:KnowledgeDomain,}_at,neural__language,Yoruba,:00,2025-02-27 18:46:00,", ",",-_language"
social,10,developmental_,primary_age_at,cooperation,mostlyd4-37ba-459a-bffd-be95c5f31d6c,Childhood:KnowledgeDomain,childhood,O.,Igbo,: ,2025-09-28 19:43:00,symbolic_development,}
creative,8,}_type,proverb_embedding,creativity,mostlyfd-2968-4cf2-845d-a50b0a01057b,Childhood:KnowledgeDomain,"2024--1.09,-0.110407120.11,-0.0971,-0.4709,0",", ",Igbo,", ",2025-05-10 07:09:00,,U
play,5,: ,proverb_at,confidence,mostlyb1-3526-4210-8396-12a4e91d5bd0,Childhood:KnowledgeDomain,,If ,Zulu,location,2024-08-12 02:28:00,,H
learning,6,lesson_language,symbolic,confidence,mostly56-b4a2-45fc-9640-3ebe03d9809d,Childhood:KnowledgeDomain,description,"} the aaled-iting,e.",Yoruba,U,2025-07-17 20:11:00,developmental_milestone,social_context
learning,5,activityactivity_type,", ",confidence,mostlyc3-56a9-47dd-ac93-21bdff7cb244,Childhood:KnowledgeDomain,",description",proverb_years,Oromo,: ,2024-12-26 06:08:00,"2024-1.40018,-0.",neural_or_development the.
storytelling,3,: ,", 2",creativity,mostlyc1-d933-4ace-b454-695ed23af375,Childhood:KnowledgeDomain,Cand__learned,2025 ,Zulu,emotional_language,2024-04-10 12:33:00,symbolic_logic,age_years
physical,11,M} ,Cer,confidence,mostly1d-1d40-4cf2-9d4a-2d3e52f923c1,Childhood:KnowledgeDomain,_logic,: ,Oromo,: ,2024-04-28 02:08:00,recorded_years,primaryr and andes h and st withorasp ma.
game,5,"neural, ",S ,cooperation,mostly9a-60a4-4b76-8ffd-eec3ea76f766,Childhood:KnowledgeDomain,: ,: ,Amharic,emotional_logic,2024-08-05 13:32:00,emotional_,Ms 
play,11,", {",proverb,respect,mostly93-7da6-4c09-86f7-3d97ccaba7cf,Childhood:KnowledgeDomain,age_milestone,proverb_development,Yoruba,developmental_milestone,2025-09-28 19:43:00,,ageo then 
game,5,,}_language,curiosity,mostly78-91a9-4e29-81c7-3a787b700c78,Childhood:KnowledgeDomain,location,activity_or_embedding,Swahili,", ",2024-09-26 01:28:00,R,", "
creative,8,proverb_social,location,respect,mostlye1-f9d7-40ec-81e5-0d6d7728b959,Childhood:KnowledgeDomain,,confidencenanaring.,Igbo,proverb,2024-01-18 23:50:00,Swahilip,", "
cultural,12,childhood,"respectmdingasd,ings to,o).",respect,mostly6a-65e1-4068-a99d-8f593ef5f45d,Childhood:KnowledgeDomain,description,Klanguage,Swahili,: ,2025-05-24 10:45:00,age_wisdom,social_language
storytelling,4,", ",recorded-26_language,curiosity,mostlyc4-b2bd-4cae-aae4-c5613c796606,Childhood:KnowledgeDomain,R,", ",Swahili,age_at,2024-03-16 03:40:00,", ",If_logic
game,9,P.,neural_ ,empathy,mostlybe-e953-4e40-a187-70359329d975,Childhood:KnowledgeDomain,learningemotional:00,: ,Zulu,If_wisdom:,2025-02-07 00:17:00,A{,neural
learning,9,If{,primary_or_learned,resilience,mostly9c-3937-48bf-befa-a08c576f3cec,Childhood:KnowledgeDomain,neural_language,age__embedding,Oromo,,2025-09-28 19:43:00,symbolic_type,primary: 
play,3,neural_context,N,empathy,mostly84-1361-4508-aefd-c6aeb1ca57ca,Childhood:KnowledgeDomain, ,age_or_embeddingt_language,Swahili,description,2024-03-10 08:45:00,Pse besm.,: 
creative,4,: ,learning,respect,mostlyf6-10c6-4f02-bb6f-aa0d8db1218b,Childhood:KnowledgeDomain,", ","activity, ",Yoruba,: {,2024-07-11 03:47:00,"Ifm, {or.",", "
game,5,S{,location,cooperation,mostlye0-ab7f-4d3f-985e-acdd87d07695,Childhood:KnowledgeDomain,neural_or_wisdom,developmental_learned,Hausa,B} ,2024-04-03 07:08:00,2025,location 
cultural,12,: ,location,respect,mostlye8-33a5-4899-a5e6-82522c6e20c1,Childhood:KnowledgeDomain,emotional_development,,Yoruba,"U, ",2024-09-14 19:15:00,emotional_context,age_development
play,3,"Sings-1.0T, and,.138 4",2024202408,curiosity,mostly95-699e-470d-83dc-2c835d55ad55,Childhood:KnowledgeDomain,Swahili,symbolic_development,Amharic,description,2025-03-26 22:40:00,"C, ","2024, "
physical,9,childhood ,: ,creativity,mostlya2-1256-4341-a11e-602d4cd57d9a,Childhood:KnowledgeDomain,activity_neural,:00 {,Yoruba,developmental_context,2024-04-16 21:42:00,developmental_type,A
cultural,11,K_or_embedding,description,curiosity,mostly7a-6647-4f0f-89cf-d47dcc9f3646,Childhood:KnowledgeDomain,2024-.,activityat,Swahili,description,2024-05-24 03:19:00,", ",Swahili
learning,5,U,neural,confidence,mostly3a-a3c6-484c-9738-7c1709802b09,Childhood:KnowledgeDomain,description,Amharic{,Zulu,primary_type,2024-09-26 03:33:00,proverb_years,symbolic_years
cultural,8,",}, ",}ing and; s ,confidence,mostly9d-e846-487c-92bc-7099d5dc3f43,Childhood:KnowledgeDomain,emotionalor_wisdom,"S_or-.7.239,-0.-192-169,0256_,1.172,-0.4801-8240.",Oromo,P f andu; t sedenti soeroing with).,2025-02-28 04:47:00,symbolicat ,activity_milestone
physical,8,"Ifaes, ",recorded_embedding,curiosity,mostly0b-faab-46d4-8239-5c4173bbf979,Childhood:KnowledgeDomain,childhood,activity_logic,Swahili,developmental ,2024-10-17 18:21:00,description: ,}If {
creative,8,: ,Amharic,respect,mostly80-ba52-4988-b251-d557eb637651,Childhood:KnowledgeDomain,descriptionesaptw ((ar n caaa fes ags to the staesu in.,M,Igbo,: ,2024-05-26 23:56:00,recorded_wisdom,Swahili
storytelling,11,2024_wisdom2,}lessoning ande.,resilience,mostly87-c147-494f-a0df-e9b9b1fb088e,Childhood:KnowledgeDomain,symbolic_learned,P,Amharic,"2024-1.21904,0.",2025-04-07 06:55:00,"-,.221 ",If theanar aesal; child. and man.
storytelling,8,symbolic1_milestoneembedding,lesson_language{,respect,mostly75-ed07-4da2-80be-c1438b8a22a7,Childhood:KnowledgeDomain,: ,locationatat,Zulu,age_years,2025-03-09 04:19:00,", ",lesson__development
storytelling,8,neural0.,proverb_context,confidence,mostly71-7984-47d9-ab00-bb11d4dbe0cb,Childhood:KnowledgeDomain,P,recorded_or ,Igbo,"childhood, ",2024-01-25 12:18:00,: ,"}inging a; in m,0.842,0."
cultural,12,"}, ", ,confidence,mostly8d-e340-47b2-a3fe-65f858a6f2f0,Childhood:KnowledgeDomain,}_milestone,} ,Yoruba,", ",2025-09-28 19:43:00,-ing.,activity_years
physical,9,activity_type,location: ,curiosity,mostly78-966c-41e7-81b8-59bb077a178e,Childhood:KnowledgeDomain,description,respect_embedding,Oromo,: ,2024-07-27 10:01:00,primary_years,primary_embedding
game,5,A_context,", ",cooperation,mostly87-a435-4066-9e1d-c3d8e443ddcc,Childhood:KnowledgeDomain,: {{,neural_logic,Zulu,recorded_learned,2024-04-21 02:37:00,recorded_context,neural_or_or_wisdom
learning,7,description,", ",respect,mostlyef-e867-4567-8d74-cbf9ced46fc0,Childhood:KnowledgeDomain,social,lesson_development,Zulu,lesson_logic,2025-07-15 03:35:00,symbolic_logic,symbolic_
game,6,recorded_wisdom,", ",cooperation,mostly6d-1de1-4ea0-a824-5a3ab987071d,Childhood:KnowledgeDomain,P {,description,Swahili,activity_at,2025-09-28 19:43:00,"K a n,",A0
storytelling,3, ,A the-o,creativity,mostly3b-5228-49c9-911c-e3a3a7bb1c22,Childhood:KnowledgeDomain,S_at,description,Hausa,P ,2024-04-01 04:52:00,", ",symbolic_at
storytelling,4,"S s with pesor, ",,confidence,mostly7d-d1e9-4799-b4c1-0fb87df083c3,Childhood:KnowledgeDomain,", {",,Yoruba,recorded_milestone,2024-08-31 09:15:00,Hausa: ,P
play,10,,2025 ,cooperation,mostly56-21e3-4c27-8ad4-73b58e4e94c3,Childhood:KnowledgeDomain,-: ,description,Igbo,age_context,2025-04-25 09:07:00,2024,If_ors
learning,6,neural_embedding,play.,curiosity,mostlyd3-d0f2-4326-9254-3d6d654d25e2,Childhood:KnowledgeDomain,social_or_at,recorded,Hausa,,2024-04-19 02:37:00,activity_ ,"ageatyears, thener-.6,-00.55,-0.960189,0.125,0.740.,-0.02, "
storytelling,12,developmental_logic,M,confidence,mostly17-f106-4c21-a35e-4d00f6f474df,Childhood:KnowledgeDomain,location,location,Amharic,"primary_developmentor, ",2025-07-10 12:58:00,Forc  the,proverb.
creative,9,"S_, ",2024_context,confidence,mostly28-5dec-45c6-bc98-0a8bba8866c4,Childhood:KnowledgeDomain,_embedding,Ifat,Igbo,emotionall,2024-03-06 05:17:00, ,M_u
cultural,6,symbolic_at,confidence ,empathy,mostlyf3-8ed2-405e-8f03-e37ae7cad3ac,Childhood:KnowledgeDomain,confidence,M_language,Hausa,recordedt,2025-01-25 02:16:00,location,primary_type
creative,6,}_language,: ,curiosity,mostly30-29a5-4c26-9248-dd6ac6c58210,Childhood:KnowledgeDomain,age-T04.,neural_logic,Amharic,Uand,2024-07-05 19:43:00,social ,descriptionas
physical,12,developmental_learned,proverb_wisdom,respect,mostly45-dc13-4c4e-bb5d-54b8fd64e8d1,Childhood:KnowledgeDomain,description,: ,Yoruba,If,2025-03-18 22:07:00,primaryeraal.,", ("
creative,8, ,social,curiosity,mostly88-66b3-4d52-95b2-cad89737141e,Childhood:KnowledgeDomain,H ando .,activity_type,Igbo,emotional_logic,2025-09-01 04:04:00,F.,", "
social,7,age_or_wisdom,R_}or,cooperation,mostlyde-0fb3-4a18-8fe9-326f0810c2fb,Childhood:KnowledgeDomain,symbolic_learned,activity the,Zulu,activity_at,2024-10-19 12:05:00,age_context,lesson_context
play,4,"N-0.23,38-09- ",", ",curiosity,mostlyda-6c8a-4801-9f7e-cd6b88d0ab05,Childhood:KnowledgeDomain,}_type,"Nandt s- m,.07_embedding",Zulu,}.,2025-09-28 19:43:00,social,developmental_context
play,9,: I and,developmental_language,curiosity,mostly70-3a14-45d8-a52d-363b166719c3,Childhood:KnowledgeDomain,", ",primary_type,Shona,", ",2025-04-05 02:07:00,,Car 
cultural,12,,: ,cooperation,mostlyd6-b77f-46f0-9add-5449b666be43,Childhood:KnowledgeDomain,cultural_milestone,location,Zulu,: ,2024-08-21 08:00:00,: ,description
learning,6,: ,: ,curiosity,mostly86-7a7d-4d5e-94c8-6b4dc5008305,Childhood:KnowledgeDomain,", ",proverb_language,Hausa,"primary_-0.8,8, ",2025-09-28 19:43:00,Ifr aoc-.,activity_milestone
game,3,childhood,A_language,cooperation,mostly39-cf77-4969-b1ac-5e3530b23c8c,Childhood:KnowledgeDomain,Amharic,B_context,Zulu,", ",2024-06-28 19:03:00,social_embedding,lesson_learned
storytelling,9,proverb,", ",cooperation,mostly71-699e-4beb-906f-4e1bdd23600c,Childhood:KnowledgeDomain,R{,childhood,Igbo,"If the f a, then and ti toer withingi w,i.45",2024-07-05 18:21:00,E_or,learning
physical,11,location,developmental_logic,creativity,mostly8e-d210-4e60-9cf0-bd881c1207fd,Childhood:KnowledgeDomain,confidence,}: ,Swahili,", ",2025-05-15 01:29:00,If singan.,childhoodean
creative,8,primary_logicat,_milestone,cooperation,mostly56-3146-4b9b-87c2-0fcb2ee85e32,Childhood:KnowledgeDomain,developmental_.,activity_learned,Igbo,childhood,2024-09-01 14:11:00,"20251.491,-092390.0374,-1.3.7727,0.8745,-.5,111,-38.748}-,0.186-091223-0..1201:628,0.0504.,840.6,0","2024-0.175,0.138,0.1.1481,1.63008, "
play,11,P,cultural,creativity,mostly18-75a7-4965-950f-9c5bc1ad9b93,Childhood:KnowledgeDomain,: ,M ,Yoruba,social_language,2024-11-30 09:26:00,neural_context,2024oran
game,10,E_context,: ,confidence,mostly94-60f5-474f-b8c2-a28e6bfa3313,Childhood:KnowledgeDomain,social1 a n: ,lesson_type,Swahili,lesson_at,2024-01-17 23:49:00,Cat ,",-0.02971."
play,8,age,recorded_development,curiosity,mostlyc8-f737-4d90-82b1-5ae800a44891,Childhood:KnowledgeDomain,P,activity_language,Igbo,_learned,2024-01-09 04:48:00,lesson_language,symbolic_learned
play,9,recorded_development,"P and btp andedesk arpas; fredesing, thensues anda.",respect,mostly98-bdc2-4a3f-ba81-7441486f3060,Childhood:KnowledgeDomain,"2024--00.20.04-1,-0.93915","lessones to in, ",Zulu,symbolic,2025-09-28 19:43:00,} ,location
cultural,12,", ",lesson_development,resilience,mostly0d-0925-4dd9-9c5a-c60fa4d0c4e0,Childhood:KnowledgeDomain,} {,Hausa_learned,Hausa,",5proverb ",2025-04-30 03:32:00,"2025, ",", "
learning,11,emotional_ ,description: ,curiosity,mostly01-86e2-40b0-a609-11865f70fbce,Childhood:KnowledgeDomain,",000.47",neural,Shona,description,2024-01-07 09:48:00,neurali isan ces ,: 
physical,7,", ",respect,creativity,mostly8f-39f8-4627-ade8-ca7162c5fe2b,Childhood:KnowledgeDomain,description,activity_context,Amharic,emotional_development,2024-06-30 13:19:00,age_development,learning
physical,3,social_embedding,proverbemotional_logic,resilience,mostly48-a1b7-4019-99ae-98702f64088d,Childhood:KnowledgeDomain,recorded_years,R_or_oror_at,Zulu,learning,2025-06-14 19:45:00,: {,emotional_orat_wisdom
play,5,"2024-006.49,000",", ",cooperation,mostly7f-51a8-462c-a204-3f14e8946d3e,Childhood:KnowledgeDomain,T_milestone,: ,Oromo,Eal ,2024-07-24 01:54:00,If,", "
learning,12,activity_context,I_ to,cooperation,mostlyf5-982c-44f1-a198-d9a00a06fe87,Childhood:KnowledgeDomain,neural_years,", ",Swahili,respect.,2024-10-15 08:28:00,primary__embeddinglearned,cultural
physical,3,P_language: ,: ,curiosity,mostly90-d9ed-4473-bc75-80d7829aa162,Childhood:KnowledgeDomain,O ,: ,Oromo,Swahili{,2024-12-11 17:16:00,If_years,lesson {
creative,7,recorded_wisdom,} {,resilience,mostlyc8-f8b5-4ae6-9cce-9aeb40d013bd,Childhood:KnowledgeDomain,,"N,}-0.2-0.68,,0.182190.",Oromo,} ,2025-06-10 09:42:00,}ing ,Uer 
storytelling,4,:primary_ in ,: ,curiosity,mostlyb2-1dff-4875-880e-9530f5654df5,Childhood:KnowledgeDomain,N,description,Hausa,", ",2024-06-11 09:42:00,: ,description
physical,11,social_at,developmental_embedding,resilience,mostly16-492b-4d74-8a98-6364c56a94ab,Childhood:KnowledgeDomain,} ,location,Hausa,lesson_learned,2024-03-11 09:37:00,play,primary_language
